,0,1,2
0,0.000,0.000,0.000
1,0.000,0.000,0.000
2,0.000,0.000,0.000
3,0.000,0.000,0.000
4,0.001,0.002,0.003
5,0.003,0.005,0.008
6,0.006,0.010,0.016
7,0.010,0.017,0.026
8,0.015,0.025,0.039
9,0.020,0.034,0.053
10,0.026,0.044,0.068
11,0.032,0.054,0.083
12,0.038,0.064,0.099
13,0.044,0.074,0.114
14,0.050,0.084,0.129
15,0.055,0.093,0.143
16,0.060,0.101,0.156
17,0.064,0.108,0.167
18,0.068,0.114,0.176
19,0.071,0.119,0.184
20,0.073,0.123,0.190
21,0.075,0.126,0.195
22,0.076,0.128,0.198
23,0.077,0.129,0.200
24,0.078,0.130,0.201
25,0.077,0.129,0.200
26,0.076,0.128,0.198
27,0.075,0.126,0.195
28,0.073,0.123,0.190
29,0.071,0.119,0.184
30,0.068,0.114,0.176
31,0.064,0.108,0.167
32,0.060,0.101,0.156
33,0.055,0.093,0.143
34,0.050,0.084,0.129
35,0.044,0.074,0.114
36,0.038,0.064,0.099
37,0.032,0.054,0.083
38,0.026,0.044,0.068
39,0.020,0.034,0.053
40,0.015,0.025,0.039
41,0.010,0.017,0.026
42,0.006,0.010,0.016
43,0.003,0.005,0.008
44,0.001,0.002,0.003
45,0.000,0.000,0.000
46,0.000,0.000,0.000
47,0.000,0.000,0.000
