,0,1,2,3,4,5
0,0.047,0.039,0.018,0.012,0.004,0.031
1,0.046,0.038,0.018,0.012,0.004,0.031
2,0.045,0.037,0.019,0.013,0.005,0.030
3,0.045,0.037,0.020,0.014,0.005,0.030
4,0.047,0.039,0.022,0.016,0.006,0.031
5,0.050,0.041,0.024,0.018,0.007,0.032
6,0.055,0.045,0.027,0.022,0.008,0.033
7,0.061,0.050,0.030,0.026,0.010,0.034
8,0.068,0.056,0.034,0.031,0.012,0.035
9,0.074,0.061,0.039,0.037,0.015,0.035
10,0.079,0.066,0.045,0.044,0.018,0.034
11,0.083,0.069,0.052,0.052,0.022,0.033
12,0.085,0.071,0.060,0.061,0.026,0.031
13,0.086,0.072,0.069,0.071,0.031,0.030
14,0.085,0.071,0.078,0.082,0.037,0.028
15,0.083,0.070,0.086,0.093,0.044,0.027
16,0.080,0.068,0.094,0.104,0.052,0.026
17,0.077,0.066,0.101,0.114,0.061,0.025
18,0.074,0.064,0.107,0.123,0.071,0.024
19,0.071,0.061,0.112,0.130,0.082,0.023
20,0.069,0.059,0.116,0.136,0.094,0.022
21,0.067,0.058,0.119,0.141,0.105,0.022
22,0.066,0.057,0.121,0.145,0.116,0.021
23,0.065,0.056,0.122,0.148,0.126,0.021
24,0.064,0.056,0.123,0.150,0.134,0.021
25,0.064,0.056,0.124,0.151,0.141,0.021
26,0.065,0.056,0.125,0.151,0.146,0.021
27,0.066,0.057,0.126,0.150,0.150,0.022
28,0.068,0.058,0.127,0.149,0.152,0.022
29,0.071,0.060,0.128,0.147,0.153,0.023
30,0.074,0.063,0.129,0.145,0.153,0.024
31,0.078,0.066,0.130,0.143,0.152,0.025
32,0.082,0.070,0.130,0.140,0.150,0.027
33,0.086,0.074,0.130,0.137,0.147,0.029
34,0.091,0.078,0.129,0.134,0.143,0.031
35,0.095,0.082,0.128,0.131,0.138,0.034
36,0.099,0.086,0.127,0.128,0.132,0.037
37,0.103,0.090,0.125,0.125,0.125,0.040
38,0.106,0.093,0.123,0.121,0.116,0.043
39,0.108,0.095,0.120,0.117,0.106,0.046
40,0.109,0.096,0.116,0.112,0.095,0.049
41,0.109,0.096,0.111,0.106,0.083,0.052
42,0.108,0.095,0.105,0.099,0.071,0.055
43,0.105,0.092,0.098,0.091,0.059,0.058
44,0.101,0.088,0.090,0.082,0.047,0.060
45,0.096,0.083,0.081,0.072,0.036,0.062
46,0.090,0.078,0.071,0.061,0.026,0.063
47,0.084,0.073,0.061,0.050,0.018,0.064
