step,Grid,LV Main,Residential North,Residential South,Commercial,EV Hub,PV Field
0,0.0,-150.50915516586878,-149.35159879590213,-148.6963238145508,-149.75390580525553,-149.65188102894138,-150.50920370107409
1,0.0,-150.5005176938091,-149.3339296111253,-148.6761991732789,-149.74532643908336,-149.643309671465,-150.50056622901442
2,0.0,-150.49756861058805,-149.3174462977681,-148.65337985393992,-149.75190708023075,-149.65196950650173,-150.49761714579338
3,0.0,-150.5043446035107,-149.32415288797952,-148.6600403475567,-149.7649924825763,-149.6648498237886,-150.504393138716
4,0.0,-150.5224439722106,-149.36011040759738,-148.70611835159605,-149.79251482017915,-149.6944474346825,-150.50516888280055
5,0.0,-150.53103580380233,-149.38672902606754,-148.74307802657168,-149.8074158371523,-149.71154166446013,-150.48506168294756
6,0.0,-150.54764944785205,-149.43509686879713,-148.80856639437852,-149.83348880238674,-149.73971512686532,-150.45619480665164
7,0.0,-150.5608844522421,-149.48490893652536,-148.88015193706067,-149.85300774900264,-149.76386081597255,-150.41331992821313
8,0.0,-150.57551977762503,-149.54098762379022,-148.9630441322909,-149.87713052970935,-149.79254719622406,-150.3561876388614
9,0.0,-150.58144271969738,-149.57467464311014,-149.0171860802543,-149.89907794448717,-149.82138139934463,-150.2862563543325
10,0.0,-150.57502894312438,-149.58184811790105,-149.04377375380915,-149.9120849889545,-149.84129552267527,-150.20015451424433
11,0.0,-150.56459349357687,-149.57090032564622,-149.04479714597505,-149.93102193202722,-149.86953640372786,-150.1115749292345
12,0.0,-150.53906579728476,-149.52607001868367,-149.00554925348047,-149.9418148333446,-149.88973076623142,-150.0043528435769
13,0.0,-150.52435483630944,-149.48724862387698,-148.97338018764194,-149.97379064930806,-149.9337889566699,-149.91443701151408
14,0.0,-150.4941809511148,-149.4102780324769,-148.8918185074179,-149.997828540466,-149.97290893442843,-149.81044742807953
15,0.0,-150.4792159542248,-149.35343199539017,-148.83461248897032,-150.04134054480477,-150.034819273253,-149.72763110821165
16,0.0,-150.46892645569332,-149.2927007045771,-148.7700839799051,-150.0976471434053,-150.1132059652893,-149.65523044191298
17,0.0,-150.47227176494266,-149.2507100018042,-148.7230128921804,-150.16897561770276,-150.21072829997877,-149.60659232346194
18,0.0,-150.48504800561588,-149.2185827980139,-148.68575786011834,-150.25127547248792,-150.3237903522348,-149.57718450889232
19,0.0,-150.5000410383083,-149.1893409848722,-148.64626230628633,-150.3337031538981,-150.4419454027987,-149.5549511001231
20,0.0,-150.5366989613528,-149.19499475462348,-148.64370839633685,-150.43947095113234,-150.58914106860794,-149.56366741367074
21,0.0,-150.579220775285,-149.21506684894604,-148.66361484204444,-150.54502201203616,-150.73527047550792,-149.58290737241478
22,0.0,-150.6290643930455,-149.24700969293542,-148.68933875074498,-150.6554898392806,-150.88889740390712,-149.6186154630242
23,0.0,-150.67911042194592,-149.2833971490475,-148.7234899798957,-150.7594274273316,-151.03457795903495,-149.65909952654636
24,0.0,-150.72283642362726,-149.3177736090993,-148.75959228347554,-150.84556343252137,-151.15600789624497,-149.69787658513243
25,0.0,-150.78412134952808,-149.38253415517053,-148.82294827431923,-150.95017295055644,-151.29411401263502,-149.7631835062466
26,0.0,-150.83659693318396,-149.44299198933746,-148.88103511135702,-151.03358406140052,-151.40263125090695,-149.82433729084397
27,0.0,-150.89518816790334,-149.51795112214475,-148.96146935760765,-151.1191330021051,-151.50949156873543,-149.89616737670414
28,0.0,-150.95606151282593,-149.59985647253077,-149.0428309491434,-151.20275674753398,-151.60594860180808,-149.9795331229306
29,0.0,-151.02664470581558,-149.70449091133045,-149.15384549567472,-151.29178431129097,-151.7031069984684,-150.07730664430403
30,0.0,-151.11119145162476,-149.83208776655948,-149.2909100872662,-151.39496180492287,-151.81038062521696,-150.19847877236614
31,0.0,-151.20726111478018,-149.98077543612206,-149.4469659165784,-151.50984407678772,-151.92517339961606,-150.33615566071887
32,0.0,-151.3090725850916,-150.1448540716182,-149.6272850766104,-151.6212416111265,-152.03030964547344,-150.48953732101575
33,0.0,-151.4236534619494,-150.32745732427944,-149.82543662152995,-151.74545879900757,-152.1439303425168,-150.66597592373284
34,0.0,-151.5443266680314,-150.5223658467596,-150.03502488783587,-151.87107385240768,-152.25371962835666,-150.85438265319405
35,0.0,-151.68067739767096,-150.73908368780224,-150.27149989115514,-152.0124138269717,-152.37504651810286,-151.06458604853074
36,0.0,-151.82180758653092,-150.96235139218294,-150.5147191536898,-152.15380699174779,-152.4915011561631,-151.28099656648052
37,0.0,-151.97050798765068,-151.1947080134792,-150.76619310422768,-152.29334024863692,-152.600825920734,-151.51170796553447
38,0.0,-152.1069520232319,-151.40557973204392,-150.98938293649312,-152.40651113110815,-152.67438486809604,-151.72674439989703
39,0.0,-152.2517240574779,-151.6127071346,-151.1956245910892,-152.5190868070208,-152.7439061879157,-151.95182636689051
40,0.0,-152.4779582259532,-151.86310464728115,-151.38135356394994,-152.69580579298142,-152.87451091511036,-152.25444191394
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,0.0,-151.7222661157184,-151.10107623315065,-150.6869536010823,-151.3788831528438,-151.32131026156378,-151.72231465092375
47,0.0,-151.4951646376816,-150.82724771096335,-150.41478731196975,-151.04960663816877,-150.97271029549066,-151.49521317288693
