step,trafo_0
0,0.1732852066804657
1,0.17061136276735303
2,0.16968043280263198
3,0.1717667078217053
4,0.17737457727302033
5,0.18006018877090416
6,0.185251257976257
7,0.18942817218095578
8,0.19407285547104622
9,0.19602034160106915
10,0.1941535490270146
11,0.19101786916035823
12,0.18319856317786143
13,0.17871386836121747
14,0.1694281926412951
15,0.16486333961801816
16,0.16174781045300543
17,0.16285649254320236
18,0.16688872097547394
19,0.17162023837937848
20,0.18305585778250774
21,0.1963137416990903
22,0.21182688364657393
23,0.227401430046832
24,0.24100684887985638
25,0.2600161944770525
26,0.2762718986569833
27,0.2944010997844479
28,0.3131957017426812
29,0.33496964540767354
30,0.36103563144542844
31,0.39064803075442306
32,0.42201045535603265
33,0.4573064612825628
34,0.494481953012036
35,0.5365197678183626
36,0.5800619687061045
37,0.6259781570900593
38,0.6681635455381173
39,0.7130183500745241
40,0.7834759114114067
41,
42,
43,
44,
45,
46,0.5492691104289887
47,0.47886557297207893
